id,kemendagri_code,name,timezone,lat,lng,created_at,updated_at
11,11,Aceh,WIB,4.695135,96.7493993,2025-03-04 02:27:40.64,2025-03-04 02:28:13.974
12,12,Sumatera Utara,WIB,2.1153547,99.5450974,2025-03-04 02:27:40.669,2025-03-04 02:28:13.979
13,13,Sumatera Barat,WIB,-0.7399397,100.8000051,2025-03-04 02:27:40.671,2025-03-04 02:28:13.98
14,14,Riau,WIB,-6.9067461,107.6079607,2025-03-04 02:27:40.672,2025-03-04 02:28:13.981
15,15,Jambi,WIB,-1.6101229,103.6131203,2025-03-04 02:27:40.673,2025-03-04 02:28:13.984
16,16,Sumatera Selatan,WIB,-3.3194374,103.914399,2025-03-04 02:27:40.674,2025-03-04 02:28:13.985
17,17,Bengkulu,WIB,-3.7928451,102.2607641,2025-03-04 02:27:40.675,2025-03-04 02:28:13.986
18,18,Lampung,WIB,-4.5585849,105.4068079,2025-03-04 02:27:40.676,2025-03-04 02:28:13.987
19,19,Kepulauan Bangka Belitung,WIB,-2.7410513,106.4405872,2025-03-04 02:27:40.677,2025-03-04 02:28:13.988
21,21,Kepulauan Riau,WIB,3.9456514,108.1428669,2025-03-04 02:27:40.677,2025-03-04 02:28:13.989
31,31,DKI Jakarta,WIB,-6.2087634,106.845599,2025-03-04 02:27:40.678,2025-03-04 02:28:13.991
32,32,Jawa Barat,WIB,-7.090911,107.668887,2025-03-04 02:27:40.679,2025-03-04 02:28:13.992
33,33,Jawa Tengah,WIB,-7.150975,110.1402594,2025-03-04 02:27:40.68,2025-03-04 02:28:13.993
34,34,Daerah Istimewa Yogyakarta,WIB,-7.8753849,110.4262088,2025-03-04 02:27:40.681,2025-03-04 02:28:13.993
35,35,Jawa Timur,WIB,-7.5360639,112.2384017,2025-03-04 02:27:40.682,2025-03-04 02:28:13.994
36,36,Banten,WIB,-6.4058172,106.0640179,2025-03-04 02:27:40.682,2025-03-04 02:28:13.995
51,51,Bali,WITA,-8.4095178,115.188916,2025-03-04 02:27:40.683,2025-03-04 02:28:13.996
52,52,Nusa Tenggara Barat,WITA,-8.6529334,117.3616476,2025-03-04 02:27:40.684,2025-03-04 02:28:13.996
53,53,Nusa Tenggara Timur,WITA,-8.6573819,121.0793705,2025-03-04 02:27:40.685,2025-03-04 02:28:13.997
61,61,Kalimantan Barat,WIB,-0.2787808,111.4752851,2025-03-04 02:27:40.685,2025-03-04 02:28:13.999
62,62,Kalimantan Tengah,WIB,-1.6814878,113.3823545,2025-03-04 02:27:40.686,2025-03-04 02:28:13.999
63,63,Kalimantan Selatan,WITA,-3.0926415,115.2837585,2025-03-04 02:27:40.687,2025-03-04 02:28:14
64,64,Kalimantan Timur,WITA,0.5386586,116.419389,2025-03-04 02:27:40.687,2025-03-04 02:28:14.001
65,65,Kalimantan Utara,WITA,3.0730929,116.0413889,2025-03-04 02:27:40.688,2025-03-04 02:28:14.001
71,71,Sulawesi Utara,WITA,0.6246932,123.9750018,2025-03-04 02:27:40.689,2025-03-04 02:28:14.002
72,72,Sulawesi Tengah,WITA,-1.4300254,121.4456179,2025-03-04 02:27:40.689,2025-03-04 02:28:14.002
73,73,Sulawesi Selatan,WITA,-7.7664389,110.3386386,2025-03-04 02:27:40.69,2025-03-04 02:28:14.003
74,74,Sulawesi Tenggara,WITA,-1.8479,120.5279,2025-03-04 02:27:40.691,2025-03-04 02:28:14.004
75,75,Gorontalo,WITA,0.5435442,123.0567693,2025-03-04 02:27:40.691,2025-03-04 02:28:14.004
76,76,Sulawesi Barat,WITA,-2.8441371,119.2320784,2025-03-04 02:27:40.693,2025-03-04 02:28:14.005
81,81,Maluku,WIT,-3.2384616,130.1452734,2025-03-04 02:27:40.693,2025-03-04 02:28:14.006
82,82,Maluku Utara,WIT,1.5709993,127.8087693,2025-03-04 02:27:40.694,2025-03-04 02:28:14.012
91,91,Papua,WIT,-4.269928,138.0803529,2025-03-04 02:27:40.694,2025-03-04 02:28:14.013
92,92,Papua Barat,WIT,-1.3361154,133.1747162,2025-03-04 02:27:40.696,2025-03-04 02:28:14.014
93,93,Papua Selatan,WIT,-4.269928,138.0803529,2025-03-04 02:27:40.697,2025-03-04 02:28:14.014
94,94,Papua Tengah,WIT,-4.269928,138.0803529,2025-03-04 02:27:40.698,2025-03-04 02:28:14.015
95,95,Papua Pegunungan,WIT,-4.269928,138.0803529,2025-03-04 02:27:40.702,2025-03-04 02:28:14.016
96,96,Papua Barat Daya,WIT,-0.8761629,131.255828,2025-03-04 02:27:40.702,2025-03-04 02:28:14.016